,subagencia,fecha,precioLitro,centroCarga
7353,LCM del Bajío (Celaya),2018-03-12,17.98,112609
7355,LCM del Bajío (Celaya),2018-03-13,17.98,112609
7358,LCM del Bajío (Celaya),2018-03-14,17.99,112609
7385,LCM del Bajío (Celaya),2018-03-15,17.72,111049
7387,LCM del Bajío (Celaya),2018-03-16,17.99,112609
7402,LCM del Bajío (Celaya),2018-03-17,18.03,1500004
7404,LCM del Bajío (Celaya),2018-03-19,18.84,108532
7405,LCM del Bajío (Celaya),2018-03-20,18.0,112609
7408,LCM del Bajío (Celaya),2018-03-21,17.99,106717
7410,LCM del Bajío (Celaya),2018-03-22,18.07,116518
7413,LCM del Bajío (Celaya),2018-03-23,18.02,112609
7435,LCM del Bajío (Celaya),2018-03-24,18.03,112609
7438,LCM del Bajío (Celaya),2018-03-25,18.03,112609
7439,LCM del Bajío (Celaya),2018-03-26,18.04,112609
7441,LCM del Bajío (Celaya),2018-03-27,19.06,112609
7444,LCM del Bajío (Celaya),2018-03-28,18.06,112609
7476,LCM del Bajío (Celaya),2018-03-29,18.78,116559
7477,LCM del Bajío (Celaya),2018-03-30,18.07,112609
7490,LCM del Bajío (Celaya),2018-04-02,18.07,112609
7491,LCM del Bajío (Celaya),2018-04-03,18.87,111698
7492,LCM del Bajío (Celaya),2018-04-04,18.07,112609
7513,LCM del Bajío (Celaya),2018-04-05,17.9,115602
7514,LCM del Bajío (Celaya),2018-04-06,18.07,112609
7528,LCM del Bajío (Celaya),2018-04-07,19.07,112609
7531,LCM del Bajío (Celaya),2018-04-09,18.07,112609
7532,LCM del Bajío (Celaya),2018-04-10,17.52,112049
7533,LCM del Bajío (Celaya),2018-04-11,17.81,106513
7534,LCM del Bajío (Celaya),2018-04-12,18.07,112609
7535,LCM del Bajío (Celaya),2018-04-12,18.07,116495
7536,LCM del Bajío (Celaya),2018-04-13,18.07,112609
7552,LCM del Bajío (Celaya),2018-04-14,18.07,112609
7554,LCM del Bajío (Celaya),2018-04-16,18.08,112609
7556,LCM del Bajío (Celaya),2018-04-17,19.07,112609
7562,LCM del Bajío (Celaya),2018-04-18,18.07,106718
7563,LCM del Bajío (Celaya),2018-04-19,18.12,116518
7564,LCM del Bajío (Celaya),2018-04-20,18.09,112609
7581,LCM del Bajío (Celaya),2018-04-21,18.09,112609
7582,LCM del Bajío (Celaya),2018-04-23,18.12,112609
7584,LCM del Bajío (Celaya),2018-04-24,19.11,112609
7591,LCM del Bajío (Celaya),2018-04-25,17.89,106513
7592,LCM del Bajío (Celaya),2018-04-26,18.16,116518
7593,LCM del Bajío (Celaya),2018-04-27,18.14,112609
7612,LCM del Bajío (Celaya),2018-04-28,18.16,116518
7613,LCM del Bajío (Celaya),2018-04-29,18.92,114731
7614,LCM del Bajío (Celaya),2018-04-30,18.14,112609
7615,LCM del Bajío (Celaya),2018-05-02,18.15,112609
7638,LCM del Bajío (Celaya),2018-05-03,19.12,112609
7640,LCM del Bajío (Celaya),2018-05-04,18.16,112609
7659,LCM del Bajío (Celaya),2018-05-05,19.12,112609
7661,LCM del Bajío (Celaya),2018-05-07,18.08,115602
7662,LCM del Bajío (Celaya),2018-05-08,18.17,112609
7664,LCM del Bajío (Celaya),2018-05-09,18.17,112609
7677,LCM del Bajío (Celaya),2018-05-10,18.08,113049
7678,LCM del Bajío (Celaya),2018-05-11,18.19,112609
7687,LCM del Bajío (Celaya),2018-05-12,18.2,112609
7688,LCM del Bajío (Celaya),2018-05-13,18.21,112609
7689,LCM del Bajío (Celaya),2018-05-14,18.21,112609
7691,LCM del Bajío (Celaya),2018-05-15,18.21,112609
7692,LCM del Bajío (Celaya),2018-05-15,18.21,116518
7693,LCM del Bajío (Celaya),2018-05-16,18.21,112609
7698,LCM del Bajío (Celaya),2018-05-17,18.21,112609
7702,LCM del Bajío (Celaya),2018-05-18,18.22,112609
7716,LCM del Bajío (Celaya),2018-05-19,19.16,112609
7720,LCM del Bajío (Celaya),2018-05-20,19.16,112609
7723,LCM del Bajío (Celaya),2018-05-21,18.22,112609
7725,LCM del Bajío (Celaya),2018-05-22,18.23,112609
7726,LCM del Bajío (Celaya),2018-05-22,18.23,116518
7728,LCM del Bajío (Celaya),2018-05-23,18.23,112609
7748,LCM del Bajío (Celaya),2018-05-23,18.23,116518
7749,LCM del Bajío (Celaya),2018-05-24,18.23,112609
7752,LCM del Bajío (Celaya),2018-05-25,18.24,112609
7771,LCM del Bajío (Celaya),2018-05-26,19.19,112609
7774,LCM del Bajío (Celaya),2018-05-28,19.19,112609
7777,LCM del Bajío (Celaya),2018-05-29,18.25,116518
7780,LCM del Bajío (Celaya),2018-05-30,17.97,107785
7781,LCM del Bajío (Celaya),2018-05-31,19.2,112609
7785,LCM del Bajío (Celaya),2018-06-01,18.27,112609
7798,LCM del Bajío (Celaya),2018-06-02,19.21,112609
7802,LCM del Bajío (Celaya),2018-06-04,19.21,112609
7807,LCM del Bajío (Celaya),2018-06-05,18.27,1500007
7808,LCM del Bajío (Celaya),2018-06-06,18.28,112609
7810,LCM del Bajío (Celaya),2018-06-06,18.28,116518
7828,LCM del Bajío (Celaya),2018-06-07,18.28,112609
7829,LCM del Bajío (Celaya),2018-06-08,18.29,112609
7839,LCM del Bajío (Celaya),2018-06-09,19.25,112609
7841,LCM del Bajío (Celaya),2018-06-10,19.25,112609
7844,LCM del Bajío (Celaya),2018-06-11,18.29,112609
7845,LCM del Bajío (Celaya),2018-06-12,18.34,112609
7847,LCM del Bajío (Celaya),2018-06-13,18.34,112609
7867,LCM del Bajío (Celaya),2018-06-14,18.35,112609
7868,LCM del Bajío (Celaya),2018-06-15,18.38,112609
7882,LCM del Bajío (Celaya),2018-06-16,18.38,112609
7883,LCM del Bajío (Celaya),2018-06-18,19.32,112609
7885,LCM del Bajío (Celaya),2018-06-19,18.4,112609
7889,LCM del Bajío (Celaya),2018-06-20,18.41,112609
7905,LCM del Bajío (Celaya),2018-06-20,18.41,116518
7906,LCM del Bajío (Celaya),2018-06-21,18.41,112609
7907,LCM del Bajío (Celaya),2018-06-22,18.11,117400
7908,LCM del Bajío (Celaya),2018-06-23,19.38,112609
7911,LCM del Bajío (Celaya),2018-06-24,19.38,112609
7912,LCM del Bajío (Celaya),2018-06-25,18.47,116518
7913,LCM del Bajío (Celaya),2018-06-26,18.47,112609
7915,LCM del Bajío (Celaya),2018-06-27,18.47,112609
7934,LCM del Bajío (Celaya),2018-06-28,18.5,112609
7935,LCM del Bajío (Celaya),2018-06-29,18.51,112609
7947,LCM del Bajío (Celaya),2018-06-30,19.45,112609
7952,LCM del Bajío (Celaya),2018-07-02,18.53,112609
7953,LCM del Bajío (Celaya),2018-07-03,19.34,108532
7954,LCM del Bajío (Celaya),2018-07-04,18.03,112609
7972,LCM del Bajío (Celaya),2018-07-05,18.56,112609
7973,LCM del Bajío (Celaya),2018-07-06,18.58,112609
7986,LCM del Bajío (Celaya),2018-07-07,18.62,111698
7987,LCM del Bajío (Celaya),2018-07-09,18.53,106513
7988,LCM del Bajío (Celaya),2018-07-10,19.69,112609
7991,LCM del Bajío (Celaya),2018-07-11,18.21,112609
8009,LCM del Bajío (Celaya),2018-07-12,18.71,112609
8010,LCM del Bajío (Celaya),2018-07-13,18.77,112609
8020,LCM del Bajío (Celaya),2018-07-14,18.76,111698
8021,LCM del Bajío (Celaya),2018-07-16,18.77,115602
8022,LCM del Bajío (Celaya),2018-07-17,19.8,112609
8028,LCM del Bajío (Celaya),2018-07-18,18.38,112609
8039,LCM del Bajío (Celaya),2018-07-19,18.83,115093
8040,LCM del Bajío (Celaya),2018-07-20,18.89,112609
8045,LCM del Bajío (Celaya),2018-07-21,18.92,111698
8046,LCM del Bajío (Celaya),2018-07-23,18.95,112609
8048,LCM del Bajío (Celaya),2018-07-24,19.93,111049
8049,LCM del Bajío (Celaya),2018-07-25,18.5,112609
8068,LCM del Bajío (Celaya),2018-07-26,19.05,116518
8069,LCM del Bajío (Celaya),2018-07-27,18.99,112609
8078,LCM del Bajío (Celaya),2018-07-28,19.05,112609
8080,LCM del Bajío (Celaya),2018-07-29,20.06,112609
8081,LCM del Bajío (Celaya),2018-07-30,20.06,112609
8088,LCM del Bajío (Celaya),2018-07-31,19.05,112972
8089,LCM del Bajío (Celaya),2018-08-01,18.68,112609
8104,LCM del Bajío (Celaya),2018-08-02,19.15,112609
8106,LCM del Bajío (Celaya),2018-08-03,19.2,112609
8112,LCM del Bajío (Celaya),2018-08-04,19.21,111698
8113,LCM del Bajío (Celaya),2018-08-06,19.05,111476
8114,LCM del Bajío (Celaya),2018-08-07,19.15,116559
8115,LCM del Bajío (Celaya),2018-08-08,18.89,112609
8124,LCM del Bajío (Celaya),2018-08-09,19.21,111698
8125,LCM del Bajío (Celaya),2018-08-10,19.42,112609
8133,LCM del Bajío (Celaya),2018-08-11,19.43,116518
8134,LCM del Bajío (Celaya),2018-08-13,19.2,1
8135,LCM del Bajío (Celaya),2018-08-14,19.34,116559
8136,LCM del Bajío (Celaya),2018-08-15,18.92,114315
8137,LCM del Bajío (Celaya),2018-08-16,19.5,112609
8140,LCM del Bajío (Celaya),2018-08-17,19.19,110497
8141,LCM del Bajío (Celaya),2018-08-18,19.56,112609
8143,LCM del Bajío (Celaya),2018-08-20,19.23,111476
8144,LCM del Bajío (Celaya),2018-08-21,19.56,112609
8145,LCM del Bajío (Celaya),2018-08-22,19.0,112609
8160,LCM del Bajío (Celaya),2018-08-23,18.21,112609
8165,LCM del Bajío (Celaya),2018-08-24,19.6,112609
8171,LCM del Bajío (Celaya),2018-08-25,19.46,116455
8172,LCM del Bajío (Celaya),2018-08-26,19.63,112609
8173,LCM del Bajío (Celaya),2018-08-27,19.24,114673
8174,LCM del Bajío (Celaya),2018-08-28,19.38,106513
8175,LCM del Bajío (Celaya),2018-08-29,19.04,112609
8191,LCM del Bajío (Celaya),2018-08-30,19.33,114690
8192,LCM del Bajío (Celaya),2018-08-31,19.41,1
8193,LCM del Bajío (Celaya),2018-09-01,19.73,116518
8194,LCM del Bajío (Celaya),2018-09-03,19.43,111698
8195,LCM del Bajío (Celaya),2018-09-04,19.75,116518
8197,LCM del Bajío (Celaya),2018-09-05,19.14,112609
8214,LCM del Bajío (Celaya),2018-09-06,19.69,108536
8215,LCM del Bajío (Celaya),2018-09-07,19.74,112609
8216,LCM del Bajío (Celaya),2018-09-08,19.77,112609
8217,LCM del Bajío (Celaya),2018-09-08,19.77,116518
8220,LCM del Bajío (Celaya),2018-09-09,20.76,112609
8221,LCM del Bajío (Celaya),2018-09-10,19.77,112609
8222,LCM del Bajío (Celaya),2018-09-11,19.77,112609
8223,LCM del Bajío (Celaya),2018-09-12,10.4,0
8224,LCM del Bajío (Celaya),2018-09-13,10.4,0
8225,LCM del Bajío (Celaya),2018-09-14,19.82,112609
8229,LCM del Bajío (Celaya),2018-09-15,19.85,112609
8230,LCM del Bajío (Celaya),2018-09-17,10.4,0
8231,LCM del Bajío (Celaya),2018-09-18,19.79,112972
8232,LCM del Bajío (Celaya),2018-09-19,19.21,106722
8243,LCM del Bajío (Celaya),2018-09-20,10.4,0
8244,LCM del Bajío (Celaya),2018-09-21,19.55,116559
8245,LCM del Bajío (Celaya),2018-09-22,11.15,0
8246,LCM del Bajío (Celaya),2018-09-24,19.85,106722
8247,LCM del Bajío (Celaya),2018-09-25,19.89,106722
8248,LCM del Bajío (Celaya),2018-09-26,11.15,0
8249,LCM del Bajío (Celaya),2018-09-27,19.9,106722
8251,LCM del Bajío (Celaya),2018-09-28,11.15,0
8252,LCM del Bajío (Celaya),2018-09-29,11.15,0
8253,LCM del Bajío (Celaya),2018-09-30,19.96,106722
8254,LCM del Bajío (Celaya),2018-10-01,20.01,116518
8255,LCM del Bajío (Celaya),2018-10-02,11.15,0
8256,LCM del Bajío (Celaya),2018-10-03,19.51,106722
8269,LCM del Bajío (Celaya),2018-10-04,10.9,0
8270,LCM del Bajío (Celaya),2018-10-05,19.98,106722
8272,LCM del Bajío (Celaya),2018-10-06,10.9,0
8273,LCM del Bajío (Celaya),2018-10-08,10.9,0
8274,LCM del Bajío (Celaya),2018-10-09,20.95,112609
8279,LCM del Bajío (Celaya),2018-10-10,19.95,116495
8280,LCM del Bajío (Celaya),2018-10-11,10.9,0
8281,LCM del Bajío (Celaya),2018-10-12,10.9,0
8282,LCM del Bajío (Celaya),2018-10-13,10.9,0
8283,LCM del Bajío (Celaya),2018-10-15,10.9,0
8284,LCM del Bajío (Celaya),2018-10-16,10.1,0
8285,LCM del Bajío (Celaya),2018-10-17,19.81,11626
8286,LCM del Bajío (Celaya),2018-10-18,19.99,112609
8288,LCM del Bajío (Celaya),2018-10-19,19.99,112609
8295,LCM del Bajío (Celaya),2018-10-20,19.99,112609
8296,LCM del Bajío (Celaya),2018-10-22,20.13,116518
8298,LCM del Bajío (Celaya),2018-10-23,19.99,112609
8299,LCM del Bajío (Celaya),2018-10-24,19.99,112609
8313,LCM del Bajío (Celaya),2018-10-25,19.99,112609
8314,LCM del Bajío (Celaya),2018-10-26,19.99,112609
8321,LCM del Bajío (Celaya),2018-10-27,20.12,116518
8322,LCM del Bajío (Celaya),2018-10-28,20.1,113834
8323,LCM del Bajío (Celaya),2018-10-29,19.82,110999
8325,LCM del Bajío (Celaya),2018-10-30,19.99,106722
8326,LCM del Bajío (Celaya),2018-10-30,19.99,112609
8327,LCM del Bajío (Celaya),2018-11-01,19.99,112609
8328,LCM del Bajío (Celaya),2018-11-02,19.99,112609
8332,LCM del Bajío (Celaya),2018-11-02,19.99,106722
8333,LCM del Bajío (Celaya),2018-11-03,19.99,112609
8335,LCM del Bajío (Celaya),2018-11-05,19.99,112609
8336,LCM del Bajío (Celaya),2018-11-06,19.99,112609
8338,LCM del Bajío (Celaya),2018-11-07,19.89,112609
8356,LCM del Bajío (Celaya),2018-11-08,19.89,112609
8357,LCM del Bajío (Celaya),2018-11-09,19.89,112609
8361,LCM del Bajío (Celaya),2018-11-10,19.89,112609
8363,LCM del Bajío (Celaya),2018-11-12,19.89,112609
8364,LCM del Bajío (Celaya),2018-11-13,19.85,112609
8366,LCM del Bajío (Celaya),2018-11-14,19.85,112609
8380,LCM del Bajío (Celaya),2018-11-15,19.85,112609
8381,LCM del Bajío (Celaya),2018-11-16,19.85,112609
8389,LCM del Bajío (Celaya),2018-11-17,21.09,112609
8397,LCM del Bajío (Celaya),2018-11-19,19.85,112609
8398,LCM del Bajío (Celaya),2018-11-20,20.04,116518
8400,LCM del Bajío (Celaya),2018-11-21,19.85,112609
8413,LCM del Bajío (Celaya),2018-11-22,19.85,112609
8414,LCM del Bajío (Celaya),2018-11-23,19.85,112609
8420,LCM del Bajío (Celaya),2018-11-24,21.09,112609
8427,LCM del Bajío (Celaya),2018-11-26,19.85,112609
8429,LCM del Bajío (Celaya),2018-11-27,19.75,112609
8433,LCM del Bajío (Celaya),2018-11-28,19.75,112609
8445,LCM del Bajío (Celaya),2018-11-29,19.65,112609
8446,LCM del Bajío (Celaya),2018-11-30,19.65,112609
8449,LCM del Bajío (Celaya),2018-12-01,20.99,112609
8454,LCM del Bajío (Celaya),2018-12-03,19.4,108337
8455,LCM del Bajío (Celaya),2018-12-04,19.65,112609
8457,LCM del Bajío (Celaya),2018-12-05,19.55,112609
8468,LCM del Bajío (Celaya),2018-12-06,19.49,112609
8470,LCM del Bajío (Celaya),2018-12-07,19.49,112609
8477,LCM del Bajío (Celaya),2018-12-08,19.49,112609
8479,LCM del Bajío (Celaya),2018-12-10,19.39,112609
8482,LCM del Bajío (Celaya),2018-12-11,19.35,112609
8483,LCM del Bajío (Celaya),2018-12-12,19.35,112609
8492,LCM del Bajío (Celaya),2018-12-13,19.9,116518
8494,LCM del Bajío (Celaya),2018-12-14,19.35,112609
8501,LCM del Bajío (Celaya),2018-12-15,19.89,112609
8502,LCM del Bajío (Celaya),2018-12-16,19.89,112609
8503,LCM del Bajío (Celaya),2018-12-17,19.89,112609
8505,LCM del Bajío (Celaya),2018-12-18,19.89,112609
8507,LCM del Bajío (Celaya),2018-12-19,19.15,113386
8508,LCM del Bajío (Celaya),2018-12-20,19.89,112609
8509,LCM del Bajío (Celaya),2018-12-21,19.89,112609
8511,LCM del Bajío (Celaya),2018-12-22,21.35,112609
8517,LCM del Bajío (Celaya),2018-12-23,19.89,112609
8518,LCM del Bajío (Celaya),2018-12-23,19.89,106722
8520,LCM del Bajío (Celaya),2018-12-24,19.89,112609
8521,LCM del Bajío (Celaya),2018-12-26,18.95,113386
8522,LCM del Bajío (Celaya),2018-12-27,19.89,112609
8524,LCM del Bajío (Celaya),2018-12-28,19.89,112609
8527,LCM del Bajío (Celaya),2018-12-29,19.89,112609
8530,LCM del Bajío (Celaya),2018-12-30,19.89,112609
8533,LCM del Bajío (Celaya),2018-12-31,19.89,106722
8534,LCM del Bajío (Celaya),2018-12-31,19.89,106705
8535,LCM del Centro(San Critobal),2018-01-02,16.6,109747
8536,LCM del Centro(San Critobal),2018-01-03,16.2,114965
8542,LCM del Centro(San Critobal),2018-01-04,16.62,109548
8543,LCM del Centro(San Critobal),2018-01-05,16.2,114965
8548,LCM del Centro(San Critobal),2018-01-06,16.74,108361
8549,LCM del Centro(San Critobal),2018-01-08,16.34,114965
8551,LCM del Centro(San Critobal),2018-01-09,16.4,109593
8552,LCM del Centro(San Critobal),2018-01-10,16.34,114965
8557,LCM del Centro(San Critobal),2018-01-11,16.82,109548
8558,LCM del Centro(San Critobal),2018-01-12,16.64,114965
8561,LCM del Centro(San Critobal),2018-01-13,16.65,113536
8562,LCM del Centro(San Critobal),2018-01-15,16.64,114965
8564,LCM del Centro(San Critobal),2018-01-16,16.7,113536
8565,LCM del Centro(San Critobal),2018-01-17,16.76,114965
8568,LCM del Centro(San Critobal),2018-01-18,16.77,113536
8570,LCM del Centro(San Critobal),2018-01-19,16.82,113536
8573,LCM del Centro(San Critobal),2018-01-20,16.83,107861
8574,LCM del Centro(San Critobal),2018-01-22,16.86,114965
8576,LCM del Centro(San Critobal),2018-01-23,17.19,107926
8578,LCM del Centro(San Critobal),2018-01-24,16.92,114965
8583,LCM del Centro(San Critobal),2018-01-24,16.92,113536
8584,LCM del Centro(San Critobal),2018-01-25,16.92,114965
8585,LCM del Centro(San Critobal),2018-01-26,16.92,114965
8590,LCM del Centro(San Critobal),2018-01-27,16.92,114965
8591,LCM del Centro(San Critobal),2018-01-28,17.38,109548
8592,LCM del Centro(San Critobal),2018-01-29,17.5,115559
8593,LCM del Centro(San Critobal),2018-01-29,17.5,107959
8594,LCM del Centro(San Critobal),2018-01-30,17.07,113536
8595,LCM del Centro(San Critobal),2018-01-31,17.1,107858
8596,LCM del Centro(San Critobal),2018-02-01,17.21,114965
8597,LCM del Centro(San Critobal),2018-02-02,17.16,113536
8598,LCM del Centro(San Critobal),2018-02-03,17.29,114965
8599,LCM del Centro(San Critobal),2018-02-04,17.79,117317
8600,LCM del Centro(San Critobal),2018-02-05,17.59,116199
8601,LCM del Centro(San Critobal),2018-02-06,17.28,107858
8602,LCM del Centro(San Critobal),2018-02-07,17.47,114965
8605,LCM del Centro(San Critobal),2018-02-08,17.46,114965
8609,LCM del Centro(San Critobal),2018-02-09,17.21,113536
8610,LCM del Centro(San Critobal),2018-02-10,17.81,107959
8612,LCM del Centro(San Critobal),2018-02-11,17.65,112363
8613,LCM del Centro(San Critobal),2018-02-12,17.46,114965
8619,LCM del Centro(San Critobal),2018-02-13,17.22,113536
8620,LCM del Centro(San Critobal),2018-02-14,17.46,114965
8624,LCM del Centro(San Critobal),2018-02-15,17.23,113536
8625,LCM del Centro(San Critobal),2018-02-16,17.26,113536
8626,LCM del Centro(San Critobal),2018-02-17,17.5,114965
8627,LCM del Centro(San Critobal),2018-02-19,17.36,107861
8629,LCM del Centro(San Critobal),2018-02-20,17.27,111489
8630,LCM del Centro(San Critobal),2018-02-21,17.3,113536
8632,LCM del Centro(San Critobal),2018-02-22,17.41,106587
8633,LCM del Centro(San Critobal),2018-02-23,17.52,114965
8635,LCM del Centro(San Critobal),2018-02-24,17.52,114965
8637,LCM del Centro(San Critobal),2018-02-25,18.05,116288
8639,LCM del Centro(San Critobal),2018-02-26,17.36,113536
8641,LCM del Centro(San Critobal),2018-02-26,17.36,107861
8642,LCM del Centro(San Critobal),2018-02-27,17.34,109593
8643,LCM del Centro(San Critobal),2018-02-28,17.55,114965
8648,LCM del Centro(San Critobal),2018-03-01,17.55,114965
8651,LCM del Centro(San Critobal),2018-03-02,17.46,107858
8652,LCM del Centro(San Critobal),2018-03-03,17.44,107858
8653,LCM del Centro(San Critobal),2018-03-05,17.55,114965
8654,LCM del Centro(San Critobal),2018-03-06,17.58,106587
8655,LCM del Centro(San Critobal),2018-03-07,17.45,113536
8656,LCM del Centro(San Critobal),2018-03-08,17.9,110744
8657,LCM del Centro(San Critobal),2018-03-09,17.55,114965
8663,LCM del Centro(San Critobal),2018-03-10,18.04,114485
8665,LCM del Centro(San Critobal),2018-03-11,18.19,116288
8666,LCM del Centro(San Critobal),2018-03-12,18.0,107979
8668,LCM del Centro(San Critobal),2018-03-13,17.12,110844
8669,LCM del Centro(San Critobal),2018-03-14,17.43,113536
8670,LCM del Centro(San Critobal),2018-03-15,17.92,1
8671,LCM del Centro(San Critobal),2018-03-16,17.55,114965
8674,LCM del Centro(San Critobal),2018-03-17,18.07,114485
8676,LCM del Centro(San Critobal),2018-03-18,18.19,107796
8680,LCM del Centro(San Critobal),2018-03-18,18.19,112784
8681,LCM del Centro(San Critobal),2018-03-18,18.19,116288
8682,LCM del Centro(San Critobal),2018-03-19,17.46,113536
8684,LCM del Centro(San Critobal),2018-03-20,17.55,114965
8685,LCM del Centro(San Critobal),2018-03-21,17.48,113536
8686,LCM del Centro(San Critobal),2018-03-22,18.1,107953
8688,LCM del Centro(San Critobal),2018-03-22,18.1,114485
8696,LCM del Centro(San Critobal),2018-03-23,17.55,114965
8699,LCM del Centro(San Critobal),2018-03-24,18.12,114485
8704,LCM del Centro(San Critobal),2018-03-25,18.19,107796
8707,LCM del Centro(San Critobal),2018-03-26,17.55,114965
8709,LCM del Centro(San Critobal),2018-03-27,17.52,113536
8710,LCM del Centro(San Critobal),2018-03-28,17.51,113536
8711,LCM del Centro(San Critobal),2018-03-29,17.55,114965
8713,LCM del Centro(San Critobal),2018-03-31,17.5,114909
8714,LCM del Centro(San Critobal),2018-03-31,17.5,113536
8715,LCM del Centro(San Critobal),2018-04-02,17.55,114965
8718,LCM del Centro(San Critobal),2018-04-03,17.55,114965
8719,LCM del Centro(San Critobal),2018-04-04,17.49,113536
8721,LCM del Centro(San Critobal),2018-04-05,17.49,107858
8722,LCM del Centro(San Critobal),2018-04-06,17.49,113536
8723,LCM del Centro(San Critobal),2018-04-07,18.2,114893
8727,LCM del Centro(San Critobal),2018-04-09,17.5,113536
8728,LCM del Centro(San Critobal),2018-04-10,17.55,114965
8729,LCM del Centro(San Critobal),2018-04-11,17.55,114965
8731,LCM del Centro(San Critobal),2018-04-12,17.51,113536
8732,LCM del Centro(San Critobal),2018-04-13,17.56,114965
8734,LCM del Centro(San Critobal),2018-04-14,17.52,113536
8735,LCM del Centro(San Critobal),2018-04-15,18.33,116288
8737,LCM del Centro(San Critobal),2018-04-16,17.56,114965
8739,LCM del Centro(San Critobal),2018-04-17,17.53,113536
8740,LCM del Centro(San Critobal),2018-04-18,17.56,114965
8746,LCM del Centro(San Critobal),2018-04-19,18.09,112266
8747,LCM del Centro(San Critobal),2018-04-20,17.56,114965
8750,LCM del Centro(San Critobal),2018-04-21,17.54,114909
8751,LCM del Centro(San Critobal),2018-04-23,17.56,114965
8752,LCM del Centro(San Critobal),2018-04-24,17.54,114909
8753,LCM del Centro(San Critobal),2018-04-25,17.61,114965
8761,LCM del Centro(San Critobal),2018-04-26,18.13,114944
8762,LCM del Centro(San Critobal),2018-04-27,18.28,116288
8763,LCM del Centro(San Critobal),2018-04-27,18.28,107968
8764,LCM del Centro(San Critobal),2018-04-28,17.59,113536
8765,LCM del Centro(San Critobal),2018-04-29,17.6,113536
8766,LCM del Centro(San Critobal),2018-04-30,17.65,114965
8767,LCM del Centro(San Critobal),2018-05-01,18.18,112057
8768,LCM del Centro(San Critobal),2018-05-02,0.12,107796
8769,LCM del Centro(San Critobal),2018-05-03,17.63,113536
8770,LCM del Centro(San Critobal),2018-05-04,17.65,114965
8771,LCM del Centro(San Critobal),2018-05-05,18.37,114893
8775,LCM del Centro(San Critobal),2018-05-07,17.65,114965
8776,LCM del Centro(San Critobal),2018-05-08,18.28,114485
8777,LCM del Centro(San Critobal),2018-05-09,17.66,113536
8779,LCM del Centro(San Critobal),2018-05-10,17.89,115677
8780,LCM del Centro(San Critobal),2018-05-11,18.27,111383
8781,LCM del Centro(San Critobal),2018-05-12,18.34,107941
8782,LCM del Centro(San Critobal),2018-05-13,17.66,114909
8783,LCM del Centro(San Critobal),2018-05-14,17.71,114965
8785,LCM del Centro(San Critobal),2018-05-15,17.79,113536
8786,LCM del Centro(San Critobal),2018-05-16,17.8,113536
8787,LCM del Centro(San Critobal),2018-05-17,17.85,114965
8789,LCM del Centro(San Critobal),2018-05-18,18.57,107959
8792,LCM del Centro(San Critobal),2018-05-18,18.57,112784
8794,LCM del Centro(San Critobal),2018-05-19,17.82,113536
8795,LCM del Centro(San Critobal),2018-05-21,17.87,114965
8797,LCM del Centro(San Critobal),2018-05-22,17.89,114965
8799,LCM del Centro(San Critobal),2018-05-23,17.67,114965
8800,LCM del Centro(San Critobal),2018-05-24,17.91,114965
8801,LCM del Centro(San Critobal),2018-05-25,17.93,114965
8804,LCM del Centro(San Critobal),2018-05-26,17.75,114965
8806,LCM del Centro(San Critobal),2018-05-28,18.64,107841
8807,LCM del Centro(San Critobal),2018-05-29,17.94,114965
8809,LCM del Centro(San Critobal),2018-05-30,17.94,114965
8810,LCM del Centro(San Critobal),2018-05-31,17.94,113536
8811,LCM del Centro(San Critobal),2018-06-01,17.94,113536
8812,LCM del Centro(San Critobal),2018-06-02,17.94,113536
8813,LCM del Centro(San Critobal),2018-06-04,17.99,114965
8815,LCM del Centro(San Critobal),2018-06-05,17.99,114965
8819,LCM del Centro(San Critobal),2018-06-06,17.99,114965
8823,LCM del Centro(San Critobal),2018-06-06,17.99,107858
8824,LCM del Centro(San Critobal),2018-06-07,17.99,114965
8826,LCM del Centro(San Critobal),2018-06-08,17.99,114965
8827,LCM del Centro(San Critobal),2018-06-09,18.14,113536
8828,LCM del Centro(San Critobal),2018-06-11,17.99,114965
8829,LCM del Centro(San Critobal),2018-06-12,17.99,114965
8831,LCM del Centro(San Critobal),2018-06-13,17.99,114965
8835,LCM del Centro(San Critobal),2018-06-14,18.77,114893
8841,LCM del Centro(San Critobal),2018-06-15,17.99,114965
8844,LCM del Centro(San Critobal),2018-06-16,17.99,114965
8845,LCM del Centro(San Critobal),2018-06-17,18.85,107965
8846,LCM del Centro(San Critobal),2018-06-18,18.72,114485
8847,LCM del Centro(San Critobal),2018-06-19,17.99,114965
8848,LCM del Centro(San Critobal),2018-06-20,17.99,114965
8855,LCM del Centro(San Critobal),2018-06-21,18.45,114893
8856,LCM del Centro(San Critobal),2018-06-22,17.99,114965
8858,LCM del Centro(San Critobal),2018-06-23,17.99,114965
8859,LCM del Centro(San Critobal),2018-06-24,18.92,107897
8860,LCM del Centro(San Critobal),2018-06-25,17.89,114909
8861,LCM del Centro(San Critobal),2018-06-26,17.99,114965
8865,LCM del Centro(San Critobal),2018-06-27,17.99,114965
8870,LCM del Centro(San Critobal),2018-06-28,17.9,114909
8871,LCM del Centro(San Critobal),2018-06-29,17.99,114965
8874,LCM del Centro(San Critobal),2018-06-30,18.98,111092
8878,LCM del Centro(San Critobal),2018-07-02,18.82,111383
